DEPMD__m,WOB_AVG__tf,DEPTVD__m,ROPA_AVG__m/h,TORQ_AVG__kLbf.ft,SURFRPM_AVG__rpm,MOTORRPM_AVG__rpm,BITRPM_AVG__rpm,SPP_AVG__Psi,CHKP_AVG__Psi,CEMENTP_AVG__Psi,SPM01_AVG__Stk/min,SPM02_AVG__Stk/min,SPM03_AVG__Stk/min,PITACTIVE_AVG__bbl,FLOWIN_AVG__gal/min,FLOWOUTP_AVG__%,DIN_AVG__ppg,TIN_AVG__C,DOUT_AVG__ppg,TOUT_AVG__C,HP__hp,DOC__in/rev,MSE__ksi,Comments__TOC/TOP,well,cluster
2775,0.91,2625.83,90.11,4.97,76,0,76.0,1180,0,0,80,87,0,230.891,714,25.85,11.69,40.707,11.69,38.7,71.91926885,0.777990745,8.524135158,TOC,,3
2776,0.92,2626.71,86.07,4.94,76,0,76.0,1180,0,0,80,87,0,230.877,714,27.9,11.69,40.701,11.69,38.7,71.48514851,0.743110236,8.869312006,TOC,,3
2777,0.91,2627.57,90.07,4.96,76,0,76.0,1180,0,0,80,87,0,231.145,715,26.34,11.69,40.711,11.69,38.7,71.77456207,0.777645393,8.510818309,TOC,,3
2778,0.92,2628.45,97.43,4.98,76,0,76.0,1180,0,0,80,87,0,230.945,715,25.61,11.69,40.721,11.69,38.6,72.06397563,0.841190082,7.902600414,TOC,,3
2779,0.93,2629.3,97.59,4.99,76,0,76.0,1180,0,0,80,87,0,230.857,714,27.31,11.69,40.738,11.69,38.6,72.20868241,0.842571488,7.90586834,TOC,,3
2780,0.93,2630.16,94.78,4.95,76,0,76.0,1180,0,0,80,87,0,230.786,715,26.2,11.69,40.764,11.69,38.7,71.62985529,0.81831054,8.074220027,TOC,,3
2781,0.92,2631.04,98.78,4.97,76,0,76.0,1180,0,0,80,87,0,230.774,715,27.18,11.69,40.77,11.69,38.8,71.91926885,0.852845697,7.779514422,TOC,,3
2782,0.91,2631.9,100.48,4.97,76,0,76.0,1181,0,0,80,87,0,230.837,715,27.21,11.69,40.766,11.69,38.8,71.91926885,0.867523139,7.648114253,TOC,,3
2783,0.92,2632.78,96.51,4.94,76,0,76.0,1181,0,0,80,87,0,230.926,715,26.45,11.69,40.752,11.69,38.8,71.48514851,0.833246995,7.913801933,TOC,,3
2784,0.91,2633.64,91.67,4.96,76,0,76.0,1183,0,0,80,87,0,230.786,715,26.59,11.69,40.759,11.69,38.8,71.77456207,0.791459456,8.362898545,TOC,,3
