     Depth,      ROP5,      STOR,      SWOB,       RPM,      CRPM,     STICK,      SPPA,      TFLO,      DHAP,     VIB_X,   VIB_LAT,    SHKRSK,      SHKL,    P40H#1,      GR#1,       MSE,       DOC
         m,       m/h,      kN.m,      1000,     c/min,     c/min,     c/min,       psi,   gal/min,       psi,        gn,        gn,          ,          ,     ohm.m,      gAPI,       ksi,    in/rev
    1046.4,   115.839,   3.22614,   6.36803,        57,   -999.25,        27,   1960.09,   910.575,   1621.75,   -999.25,   -999.25,   -999.25,   -999.25,  0.531043,   53.2452,   2.26457,   1.33351
    1046.5,    114.21,   7.57902,   5.84103,        57,   -999.25,   -999.25,   1969.93,    910.58,      1617,   -999.25,   -999.25,   -999.25,         0,   0.56091,   42.7357,   5.35709,   1.31476
    1046.7,   113.448,   5.49273,   7.19019,        57,   -999.25,   -999.25,   1991.38,    910.58,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,  0.580372,     45.82,    3.9207,   1.30598
    1046.8,   109.443,    7.7824,   7.23374,        56,   -999.25,   -999.25,    2001.3,    910.58,      1609,   -999.25,   -999.25,   -999.25,   -999.25,   0.59985,   48.9068,   5.64427,   1.28237
    1047.0,    107.04,   12.6323,   7.04759,   56.9992,   -999.25,   -999.25,    2008.4,    910.58,      1609,   -999.25,   -999.25,   -999.25,   -999.25,   0.59985,   47.8556,   9.51306,   1.23223
    1047.1,   106.637,   0.28472,   7.42412,        56,   -999.25,   -999.25,   2015.32,   916.455,      1608,   0.12492,   0.49966,   -999.25,         0,   0.59985,   46.8036,  0.241681,    1.2495
    1047.3,   102.568,   1.92395,   7.24611,   56.9992,   -999.25,   -999.25,   2024.11,   910.584,    1608.5,   -999.25,   -999.25,   -999.25,   -999.25,   0.56204,   45.2957,   1.53752,   1.18075
    1047.4,   101.778,  0.719547,   7.44177,        57,   -999.25,   -999.25,   2018.84,    916.45,      1608,   -999.25,   -999.25,   -999.25,   -999.25,   0.52423,   43.7879,  0.599088,   1.17164
    1047.6,   102.906,   6.59812,   5.90909,        57,   -999.25,   -999.25,   2001.92,   922.324,      1609,   -999.25,   -999.25,   -999.25,   -999.25,  0.516551,   42.2789,   5.17721,   1.18462
    1047.7,   99.6982,   1.65807,   6.32517,        57,   -999.25,   -999.25,   1968.52,   916.459,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,  0.508879,   40.7711,   1.36279,    1.1477
    1047.9,    97.405,    2.0744,   5.42808,        57,   -999.25,   -999.25,   1951.82,    910.58,      1609,   -999.25,   -999.25,   -999.25,   -999.25,    0.5012,    55.494,     1.734,    1.1213
    1048.1,   90.1174,   10.6634,    6.8364,        57,   -999.25,   -999.25,   1970.63,    904.71,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,  0.458584,   51.0599,   9.53743,   1.03741
    1048.2,   86.5663,   5.07076,   6.70204,        57,   -999.25,   -999.25,    1952.3,   922.329,      1611,   -999.25,   -999.25,   -999.25,   -999.25,    0.4386,   45.9134,   4.73517,  0.996527
    1048.4,   88.0051,   9.31107,   6.67386,   57.9992,   -999.25,   -999.25,   1948.58,   -999.25,      1611,   -999.25,   -999.25,   -999.25,   -999.25,  0.432245,   40.7711,   8.67916,  0.995637
    1048.5,   91.2441,   1.28803,   5.58972,        57,        57,   -999.25,   1943.81,   916.455,      1610,   -999.25,   -999.25,   -999.25,         0,  0.425885,   44.8406,   1.15766,   1.05038
    1048.7,   83.9632,   2.94081,   4.65005,        57,   -999.25,        66,   1908.57,   910.584,      1611,   -999.25,   -999.25,         0,   -999.25,   0.41953,   48.9068,   2.83399,  0.966561
    1048.8,   79.4029,   2.27777,   4.76201,        57,   -999.25,   -999.25,   1891.84,   904.705,    1611.5,   -999.25,   -999.25,   -999.25,   -999.25,  0.425888,   54.5139,   2.32507,  0.914064
    1049.0,   74.1087,   2.41325,   5.18691,        57,   -999.25,   -999.25,   1891.19,   904.705,      1611,   -999.25,   -999.25,   -999.25,   -999.25,  0.432242,   60.1166,   2.63843,  0.853119
    1049.1,   69.1607,   2.27777,   4.51371,        57,   -999.25,   -999.25,   1886.62,   904.705,   -999.25,   0.12492,   0.24983,   -999.25,   -999.25,    0.4386,   65.2963,   2.66543,  0.796158
    1049.3,   60.7548,   2.18295,   5.17252,        57,   -999.25,   -999.25,   1915.48,   910.575,      1615,   -999.25,   -999.25,   -999.25,   -999.25,  0.506045,    70.472,   2.90893,  0.699392
    1049.4,   57.5288,   5.55614,   7.42735,        57,   -999.25,   -999.25,   1966.39,    904.71,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   0.57349,   75.6476,    7.7922,  0.662256
    1049.6,   56.3799,   8.82376,   9.06046,        57,   -999.25,   -999.25,   2033.77,   910.575,      1612,   -999.25,   -999.25,   -999.25,   -999.25,  0.596073,   80.8274,   12.6147,  0.649029
    1049.7,   55.7157,   3.78677,   4.34072,        57,   -999.25,   -999.25,   2058.79,    916.45,      1613,   -999.25,   -999.25,   -999.25,   -999.25,  0.618638,    86.003,   5.47989,  0.641384
    1049.9,   53.5611,   3.49801,   4.03289,        57,        58,        39,   2043.93,   928.204,   -999.25,   -999.25,   -999.25,         0,   -999.25,  0.641222,   85.0705,   5.26507,  0.616581
    1050.0,   50.4315,   5.12369,    2.3109,        57,   -999.25,   -999.25,   2009.86,   916.464,      1612,   -999.25,   -999.25,   -999.25,   -999.25,  0.663787,   84.1388,   8.17408,  0.580553
    1050.2,   48.0816,   7.91798,    2.0413,        57,   -999.25,   -999.25,   1990.85,   922.329,   -999.25,   0.12492,   0.49966,   -999.25,         0,   0.68637,   83.2063,   13.2422,  0.553502
    1050.3,   44.7498,   7.64703,    3.8169,        57,   -999.25,   -999.25,   1979.86,   904.719,      1613,   -999.25,   -999.25,   -999.25,   -999.25,  0.696914,   79.1516,   13.7484,  0.515147
    1050.5,   43.2556,   9.09754,   3.24928,        57,   -999.25,   -999.25,   1984.54,   904.705,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,  0.707466,   75.0937,   16.9151,  0.497947
