     Depth,      DCAV,    UCS-CA,    UCS-BD,        GR,      P40H,      WOBA,      RPMS,       TQA,      ROPA,       DOC,       MSE
         m,        in,       psi,       psi,      gapi,     ohm.m,      klbm,     1/min,   klbf.ft,       m/h,    in/rev,       ksi
    5336.0,   8.96219,   13373.8,   11487.4,   151.178,   21.9023,     27.85,        90,     19.69,      7.63, 0.0551619,   475.533
    5337.0,   8.62913,   -999.25,   10978.2,   112.556,   44.1266,     21.14,        67,     20.93,     15.44,  0.149381,   186.659
    5338.0,   8.58335,   -999.25,   13898.3,   35.0365,   103.075,     27.94,        90,     17.02,      5.35, 0.0391082,   579.785
    5339.0,   8.63657,   -999.25,   14066.1,   31.5444,   61.3264,      28.4,        90,     17.66,      7.61, 0.0550174,   427.628
    5340.0,    8.8134,   -999.25,     12434,   38.1926,   53.3264,     32.13,        91,     19.55,     12.05, 0.0880848,   295.679
    5341.0,   8.56748,   -999.25,   12684.2,   39.3744,    53.721,     28.46,        91,      20.9,     18.58,  0.134326,   207.281
    5342.0,    8.6356,   -999.25,   16358.2,   37.0083,   56.4719,     19.84,        91,      14.7,      2.63, 0.0188072,   1041.28
    5343.0,   8.52905,   -999.25,   12950.3,   69.3065,   50.2445,     27.95,        92,      16.5,       5.6, 0.0400458,   548.911
    5344.0,   8.56078,   -999.25,   12669.9,   32.5821,   58.4916,      23.1,        91,     15.76,      5.08, 0.0367264,   571.679
    5345.0,   8.54945,   -999.25,   13727.9,   30.9003,   58.1417,     27.71,        92,      17.4,     11.26, 0.0805206,   287.884
    5346.0,   8.59095,   -999.25,   14929.8,   32.6287,   57.0662,     29.22,        92,     17.34,      8.35, 0.0597111,   386.873
    5347.0,   8.54242,   -999.25,   13223.1,   30.9707,   56.1247,     28.51,        92,     17.29,      7.12, 0.0509153,   452.399
    5348.0,   8.57862,   -999.25,   15097.9,    31.447,   55.4107,     29.17,        92,     17.39,      8.76,  0.062643,    369.83
    5349.0,   8.56714,   -999.25,   15626.2,   30.6832,   55.6947,      28.1,        91,     16.91,      6.02, 0.0430492,   523.303
    5350.0,    8.6235,   -999.25,     15085,   29.8773,   59.4257,     26.08,        91,      16.7,      4.63, 0.0334731,   664.653
    5351.0,   9.01253,   -999.25,   15593.8,   66.2054,   62.5283,     26.04,       100,     16.76,      4.24, 0.0276185,    808.44
    5352.0,   8.66791,   -999.25,   16736.6,   71.1563,   54.6103,     24.61,       100,     15.56,      4.42, 0.0290789,   712.862
    5353.0,    9.1003,   -999.25,   18315.1,   43.8095,    65.413,     23.61,       100,     16.67,      2.85,   0.01875,   1184.43
    5354.0,   8.86641,   -999.25,   12602.6,   81.8461,   42.0003,     23.46,       100,     16.41,      4.16, 0.0273684,   798.792
    5355.0,   8.57994,   -999.25,   13308.3,    55.158,   56.1876,     27.01,       100,     16.35,      5.34, 0.0351316,   620.005
    5356.0,   8.58143,   -999.25,   12715.9,   28.4564,   56.3813,     23.77,        99,     15.13,      3.38, 0.0222368,   906.443
    5357.0,   8.53628,   -999.25,   13600.7,   25.3259,   54.2903,     21.46,       100,     17.75,     10.14, 0.0673844,   350.925
    5358.0,   8.57113,   -999.25,   13366.9,   28.9005,   54.8298,     32.43,       100,     18.46,     11.54, 0.0759211,   323.925
    5359.0,   8.66406,   -999.25,     14410,   30.4437,   60.1067,     22.59,       100,     18.36,      8.92,  0.059277,   412.631
    5360.0,     8.533,   -999.25,   13826.3,   32.9179,   60.3019,     20.39,       100,     18.34,     11.42, 0.0751316,   325.201
    5361.0,   8.50435,   -999.25,     12502,   33.7923,   59.5528,     19.25,       100,      17.6,      8.34, 0.0548684,   427.332
    5362.0,   8.53606,   -999.25,   12979.5,   28.7586,   60.3853,     24.02,       100,     17.58,      8.18, 0.0538158,   435.195
    5363.0,   8.53984,   -999.25,     14135,    29.106,   61.3204,     23.38,       100,     18.25,     10.58, 0.0689161,   352.791
    5364.0,   8.54728,   -999.25,   14245.4,   30.1242,    61.209,     19.96,       100,     17.85,     10.83,   0.07125,   333.755
    5365.0,    8.5053,   -999.25,   11721.7,    31.494,   60.1374,     23.57,       100,     18.58,     12.11,  0.079671,   310.685
    5366.0,   8.53811,   -999.25,   13172.6,   30.3881,   59.7765,     19.92,        72,     18.37,       8.5, 0.0766042,   319.471
    5367.0,   8.55906,   -999.25,   11902.1,   32.1992,   60.2509,     23.37,       100,     14.84,      5.24, 0.0344737,   573.484
    5368.0,   8.57303,   -999.25,   13678.5,   33.6931,   59.6071,     30.43,        91,     14.89,      3.33, 0.0243421,   814.913
    5369.0,   8.52685,   -999.25,   12006.3,   39.2614,   58.4811,     24.09,        91,     15.51,      3.66, 0.0267544,    772.31
    5370.0,   8.61258,   -999.25,   15865.4,   39.2087,   60.1382,     19.71,        91,     14.94,       3.2, 0.0231348,   860.321
    5371.0,   8.63584,   -999.25,   14617.8,   40.1535,    68.876,     18.88,        91,     15.12,      3.64, 0.0266082,   757.027
    5372.0,   8.53502,   -999.25,   16640.3,   66.6791,   43.9443,     21.04,        91,     15.66,      4.08, 0.0294968,    707.28
    5373.0,   8.42958,   -999.25,   12883.7,   30.7958,   58.1485,     19.86,        91,     14.74,      3.78, 0.0273279,   718.564
    5374.0,   8.56606,   -999.25,   17906.5,   44.8773,   74.7465,     16.43,        91,     15.29,      3.37, 0.0243638,    836.06
    5375.0,   8.50591,   -999.25,   13856.2,    179.44,   23.8371,      12.4,        91,     16.91,      3.94, 0.0284847,   790.874
    5376.0,   8.49094,   -999.25,   13856.2,   183.472,   16.6191,     13.84,        91,     16.72,       7.2, 0.0520532,   427.921
    5377.0,   8.56715,   -999.25,   13856.2,   168.572,   14.1692,     16.86,        91,     17.54,      5.86,  0.041905,    557.62
    5378.0,   8.45572,   -999.25,   13791.4,   174.263,   12.8528,     16.58,        91,     17.28,      6.39, 0.0461972,   498.313
    5379.0,   8.48504,   -999.25,   13856.2,   178.012,   12.4484,     17.09,        91,     17.16,       6.4, 0.0467836,    488.65
    5380.0,   8.61563,   -999.25,   13856.2,   149.472,    13.348,     20.21,        91,     15.32,      3.74, 0.0273392,   746.531
    5381.0,   8.53246,   -999.25,   13856.2,   168.348,   11.7294,      12.7,        81,     14.75,      2.48,  0.020143,   975.537
    5382.0,   8.50717,   -999.25,   13856.2,   159.848,   10.9921,     22.83,        80,     15.49,      1.58, 0.0129934,   1588.19
    5383.0,   8.64907,   -999.25,   13856.2,   168.402,    9.4771,     28.27,        81,     16.79,      7.34, 0.0588896,   379.828
    5384.0,   8.57287,   -999.25,   13856.2,    177.59,   8.40549,     24.77,        81,     18.01,      4.92,  0.039961,   600.416
    5385.0,   8.55569,   -999.25,   13856.2,    180.36,   8.45097,     26.23,        81,     19.74,      12.1, 0.0982781,   267.587
    5386.0,   8.56545,   -999.25,   13856.2,   182.515,   8.69649,     31.32,        89,     18.24,      9.13, 0.0667398,   364.095
    5387.0,   8.48324,   -999.25,   13856.2,   171.302,   9.05075,     24.55,        80,     19.56,      5.16, 0.0429714,   606.408
    5388.0,   8.59741,   -999.25,   13856.2,   166.018,   9.25498,     26.04,        80,     18.72,      8.01, 0.0675607,   369.136
    5389.0,   8.45632,   -999.25,   13856.2,   161.596,   9.15728,     28.08,        80,     18.04,      7.88, 0.0656229,   366.232
    5390.0,   8.54129,   -999.25,   13856.2,   173.992,    8.9554,     26.07,        80,     19.75,      9.09,   0.07667,   343.175
    5391.0,   8.47689,   -999.25,   13856.2,   172.574,   8.38479,     21.79,        80,     19.08,      6.31, 0.0518914,   489.843
