MD (m),Interval__unidentified (m),Drilling_hour__unidentified (h),Drilling_time__unidentified (min),ROP (m/h),WOB (klbs),BIT_RPM (rpm),TORQUE (kLbf.ft),Si (%),Shale (%),Dolomite (%),Limestone (%),BIT_DIAMETER (in),DOC (in/rev),Mu,MSE (ksi),cluster,MSE_min (ksi)
5429.6,118.6,50.7,3.4,2.34,0.013365,285.363,6.68231172,64.75718421,31.41030526,0.174877947,3.657632578,8.5,0.00538063413967473,2117.587393939394,5413.997932935194,1,1129.4354949731883
5429.8,118.8,50.7,3.4,2.34,0.014076,285.363,6.608555520000001,64.75718421,31.41030526,0.174877947,3.657632578,8.5,0.00538063413967473,1988.4325319693098,5354.245717374719,1,1129.4354949731883
5430.0,119.0,50.8,4.7,2.34,0.0143325,285.363,6.5569261800000005,63.89494794,31.64444878,0.12235756,4.338245723,8.5,0.00538063413967473,1937.590153846154,5312.417779709662,1,1129.4354949731883
5430.2,119.2,50.9,4.3,2.34,0.014485499999999998,285.363,6.57167742,63.89494794,31.64444878,0.12235756,4.338245723,8.5,0.00538063413967473,1921.4377632805222,5324.369920065987,1,1129.4354949731883
5430.4,119.4,51.0,6.2,2.34,0.014737499999999999,285.363,6.453667500000001,63.89494794,31.64444878,0.12235756,4.338245723,8.5,0.00538063413967473,1854.6687022900767,5228.761283436541,1,1129.4354949731883
5430.6,119.6,51.1,5.0,2.34,0.014487749999999999,285.363,6.490545600000001,63.89494794,31.64444878,0.12235756,4.338245723,8.5,0.00538063413967473,1897.4215872029822,5258.637999223475,1,1129.4354949731883
5430.8,119.8,51.1,4.1,2.34,0.01443825,285.363,6.623306760000001,63.89494794,31.64444878,0.12235756,4.338245723,8.5,0.00538063413967473,1942.8706498363726,5366.199060808125,1,1129.4354949731883
5431.0,120.0,51.2,4.5,2.34,0.014480999999999999,285.363,6.615931140000001,64.54366075,31.67846505,0.156478402,3.621395798,8.5,0.00538063413967473,1934.9778495960227,5360.223676254537,1,1129.4354949731883
5431.2,120.2,51.3,4.3,2.34,0.01386,285.363,6.549550560000001,64.54366075,31.67846505,0.156478402,3.621395798,8.5,0.00538063413967473,2001.3905454545456,5306.4394327404625,1,1129.4354949731883
5431.4,120.4,51.3,3.5,2.35,0.014017499999999999,285.363,6.53479932,64.54366075,31.67846505,0.156478402,3.621395798,8.5,0.005403628302664793,1974.4460224719103,5271.9596797894765,1,1129.4354949731883
5431.6,120.6,51.4,5.4,2.35,0.014544,285.363,6.53479932,64.54366075,31.67846505,0.156478402,3.621395798,8.5,0.005403628302664793,1902.970099009901,5271.962706886652,1,1129.4354949731883
5431.8,120.8,51.5,3.3,2.35,0.01395225,285.363,6.615931140000001,64.54366075,31.67846505,0.156478402,3.621395798,8.5,0.005403628302664793,2008.3079245283022,5337.411528058726,1,1129.4354949731883
5432.0,121.0,51.5,4.4,2.35,0.014917499999999998,285.363,6.5200480800000005,64.30383444,31.40367344,0.168061896,4.124430226,8.5,0.005403628302664793,1851.1360000000002,5260.06445005596,1,1129.4354949731883
5432.2,121.2,51.6,4.9,2.35,0.01461375,285.363,6.51267246,64.30383444,31.40367344,0.168061896,4.124430226,8.5,0.005403628302664793,1887.4746974595844,5254.1125015244415,1,1129.4354949731883
5432.4,121.4,51.7,5.8,2.35,0.01535175,285.363,6.394662540000001,64.30383444,31.40367344,0.168061896,4.124430226,8.5,0.005403628302664793,1764.1817147882164,5158.913510566187,1,1129.4354949731883
5432.6,121.6,51.8,4.3,2.35,0.014451750000000001,285.363,6.4831699799999996,64.30383444,31.40367344,0.168061896,4.124430226,8.5,0.005403628302664793,1899.9866230733298,5230.310761592719,1,1129.4354949731883
5432.8,121.8,51.9,5.1,2.35,0.0150435,285.363,6.394662540000001,64.30383444,31.40367344,0.168061896,4.124430226,8.5,0.005403628302664793,1800.3308166317681,5158.9117382913455,1,1129.4354949731883
5433.0,122.0,52.0,6.2,2.35,0.015347249999999998,285.363,6.47579436,57.29473647,38.63250943,0.186330521,3.886423577,8.5,0.005403628302664793,1787.0884855593024,5224.36570811588,1,1129.4354949731883
5433.2,122.2,52.1,4.7,2.35,0.01516275,285.363,6.5938042800000005,57.29473647,38.63250943,0.186330521,3.886423577,8.5,0.005403628302664793,1841.7965395459269,5319.567881407063,1,1129.4354949731883
5433.4,122.4,52.1,4.4,2.35,0.014928749999999998,285.363,6.47579436,57.29473647,38.63250943,0.186330521,3.886423577,8.5,0.005403628302664793,1837.1862185380562,5224.363301961715,1,1129.4354949731883
