MD,Interval__unidentified,Drilling_hour__unidentified,Drilling_time__unidentified,ROP,WOB,BIT_RPM,TORQUE,Si,Shale,Dolomite,Limestone,BIT_DIAMETER,DOC,Mu,MSE,cluster
m,m,h,min,m/h,klbs,rpm,kLbf.ft,%,%,%,%,in,in/rev,,ksi,
5382.6,71.6,29.7,4.8,2.41,0.0084285,266.78,6.66756048,71.3756908,23.02497574,0.272698109,5.326635352,8.5,0.0059276020816153,3350.4276775226904,4903.552927431932,0
5382.8,71.8,29.8,5.0,2.41,0.0091867499999999,266.78,6.638058000000001,71.3756908,23.02497574,0.272698109,5.326635352,8.5,0.0059276020816153,3060.2909625275543,4881.860364544521,0
5383.0,72.0,29.9,4.5,2.41,0.00868275,266.78,6.66756048,70.71173782,23.20343486,0.230408671,5.854418642,8.5,0.0059276020816153,3252.3197926924067,4903.55438923527,0
5383.2,72.2,30.0,6.1,2.41,0.00946125,266.78,6.66756048,70.71173782,23.20343486,0.230408671,5.854418642,8.5,0.0059276020816153,2984.7091747919144,4903.55886519947,1
5383.4,72.4,30.1,5.2,2.41,0.00917325,266.78,6.66018486,70.71173782,23.20343486,0.230408671,5.854418642,8.5,0.0059276020816153,3075.0106843267104,4898.132978745243,0
5383.6,72.6,30.2,5.6,2.41,0.009144,266.78,6.66018486,70.71173782,23.20343486,0.230408671,5.854418642,8.5,0.0059276020816153,3084.8470866141743,4898.132810573178,0
5383.8,72.8,30.3,6.0,2.4,0.00853425,266.78,6.5569261800000005,70.71173782,23.20343486,0.230408671,5.854418642,8.5,0.0059030062223555,3254.007192196151,4842.282330549434,1
5384.0,73.0,30.4,5.0,2.4,0.008928,266.78,6.7118142,63.94245242,30.7128532,0.226023362,5.118671019,8.5,0.0059030062223555,3183.972580645161,4956.668057312394,0
5384.2,73.2,30.4,4.8,2.4,0.00237825,266.78,6.09226212,63.94245242,30.7128532,0.226023362,5.118671019,8.5,0.0059030062223555,10849.373245033114,4499.096548073131,0
5384.4,73.4,30.5,4.5,2.41,0.00786825,268.923,6.46841874,63.94245242,30.7128532,0.226023362,5.118671019,8.5,0.0058803660651314,3481.797838146983,4795.308084570056,0
5384.6,73.6,30.6,5.4,2.4,0.00832725,268.78,6.438916260000001,63.94245242,30.7128532,0.226023362,5.118671019,8.5,0.0058590817769179,3274.8751580653884,4790.779814629841,0
5384.8,73.8,30.7,5.8,2.4,0.0087525,268.78,6.608555520000001,63.94245242,30.7128532,0.226023362,5.118671019,8.5,0.0058590817769179,3197.8493367609262,4916.998564929416,1
5385.0,74.0,30.8,4.6,2.4,0.0088019999999999,268.78,6.623306760000001,63.33546968,30.62845396,0.186827435,5.849248927,8.5,0.0058590817769179,3186.963435582823,4927.974180427118,0
5385.2,74.2,30.9,6.1,2.4,0.009216,268.78,6.505296840000001,63.33546968,30.62845396,0.186827435,5.849248927,8.5,0.0058590817769179,2989.5665625,4840.17391351807,1
5385.4,74.4,31.0,5.4,2.4,0.0089235,268.78,6.549550560000001,63.33546968,30.62845396,0.186827435,5.849248927,8.5,0.0058590817769179,3108.564236006052,4873.098224493887,0
5385.6,74.6,31.1,5.3,2.4,0.0095175,268.78,6.64543362,63.33546968,30.62845396,0.186827435,5.849248927,8.5,0.0058590817769179,2957.222581560284,4944.441290522797,0
5385.8,74.8,31.1,5.0,2.4,0.0082642499999999,268.78,6.46841874,63.33546968,30.62845396,0.186827435,5.849248927,8.5,0.0058590817769179,3314.959716852709,4812.730114210731,0
5386.0,75.0,31.3,7.9,2.4,0.01029825,268.78,6.497921220000001,64.1984121,29.24893891,0.035628165,6.517020827,8.5,0.0058590817769179,2672.357684072537,4834.692470435076,1
5386.2,75.2,31.3,4.2,2.4,0.010197,268.78,6.438916260000001,64.1984121,29.24893891,0.035628165,6.517020827,8.5,0.0058590817769179,2674.385030891439,4790.79056470571,0
