Depth,Interval,Drilling_hour,Drilling_time,ROP,WOB,RPM_Total,TQ_Table,Si,Shale,Dolomite,Limestone
m,m,h,min,m/h,KN,rpm,KN.m,%,%,%,%
5330.6,19.6,7.5,5.6,2.61,36.16,267.065,6.09,68.44215506,20.69052131,0.201461949,10.66586168
5330.8,19.8,7.6,2.8,2.62,40.96,268.065,6.43,68.44215506,20.69052131,0.201461949,10.66586168
5331,20,7.6,4.5,2.62,44.5,268.065,6.58,63.63823341,27.85565438,0.073639925,8.432472293
5331.2,20.2,7.7,5.5,2.62,48.34,267.922,6.53,63.63823341,27.85565438,0.073639925,8.432472293
5331.4,20.4,7.8,7.1,2.6,45.38,268.065,6.51,63.63823341,27.85565438,0.073639925,8.432472293
5331.6,20.6,7.9,6,2.6,34.49,268.065,6.23,63.63823341,27.85565438,0.073639925,8.432472293
5331.8,20.8,8,4,2.6,35.71,268.065,6.37,63.63823341,27.85565438,0.073639925,8.432472293
5332,21,8.1,3.8,2.6,39.83,268.065,6.45,65.21310275,24.87733594,0.202747502,9.706813812
5332.2,21.2,8.1,4.7,2.6,38.14,268.065,6.69,65.21310275,24.87733594,0.202747502,9.706813812
5332.4,21.4,8.2,2.9,2.61,35.48,268.065,6.61,65.21310275,24.87733594,0.202747502,9.706813812
5332.6,21.6,8.2,3.3,2.62,37.52,268.065,6.57,65.21310275,24.87733594,0.202747502,9.706813812
5332.8,21.8,8.3,4.4,2.62,40.57,268.065,6.51,65.21310275,24.87733594,0.202747502,9.706813812
5333,22,8.4,5.3,2.62,39.07,268.065,6.27,65.85239235,26.27280003,0.117977454,7.756830169
5333.2,22.2,8.5,3.7,2.62,41.41,268.065,6.37,65.85239235,26.27280003,0.117977454,7.756830169
5333.4,22.4,8.6,5.7,2.62,42.54,268.065,6.58,65.85239235,26.27280003,0.117977454,7.756830169
5333.6,22.6,8.6,4.2,2.62,41,268.065,6.53,65.85239235,26.27280003,0.117977454,7.756830169
5333.8,22.8,8.7,5,2.62,38.94,268.065,6.51,65.85239235,26.27280003,0.117977454,7.756830169
5334,23,8.8,3.1,2.62,36.73,267.922,6.57,69.62017982,23.13717475,0.206489756,7.036155678
5334.2,23.2,8.8,3.8,2.63,43.95,267.922,6.65,69.62017982,23.13717475,0.206489756,7.036155678
5334.4,23.4,8.9,4.6,2.63,41.88,267.922,6.56,69.62017982,23.13717475,0.206489756,7.036155678
5334.6,23.6,9,4.9,2.62,42.65,267.922,6.64,69.62017982,23.13717475,0.206489756,7.036155678
